BGFIPS10,Drunk,DrunkP1k,Bars,BarPSqMi,RetailPSqMi,Pop,PopDens1k,pMale,pHHPov,VacantHU,SqMiles
060750302013,0.0,0.0,0.0,0.0,21.3758641331,1415,30.2468477484,47.4911660777,1.53256704981,1.50943396226,0.0467817344726
060750302021,14.0,10.4712041885,3.0,64.5432986169,602.404120424,1337,28.7647967502,45.4001495886,11.7037037037,8.28804347826,0.0464804257652
060750302022,5.0,3.47222222222,3.0,67.818033497,361.696178651,1440,32.5526560786,48.4722222222,9.34579439252,8.65853658537,0.044236021679
060750302023,1.0,0.658327847268,0.0,0.0,129.313030046,1519,32.7377487734,51.2179065174,11.6427432217,3.24074074074,0.0463990364919
060750303011,1.0,0.78431372549,0.0,0.0,0.0,1275,19.3497350779,50.2745098039,8.85826771654,9.60854092527,0.0658923750051
060750303012,1.0,0.627746390458,0.0,0.0,13.1109554263,1593,20.885751994,46.1393596987,0.0,8.42857142857,0.0762720921159
060750303013,1.0,0.759301442673,0.0,0.0,13.7549194406,1317,18.1152289033,44.874715262,14.1065830721,13.7837837838,0.0727012618516
060750303014,0.0,0.0,0.0,0.0,0.0,1463,19.0430310993,52.1531100478,2.9520295203,5.24475524476,0.0768260048714
060750303021,0.0,0.0,0.0,0.0,0.0,1546,21.4615166973,44.0491591203,7.09939148073,0.0,0.0720359153459
060750303022,0.0,0.0,0.0,0.0,0.0,1173,14.3444439113,52.0886615516,4.30839002268,2.0,0.0817738217844
060750303023,1.0,0.821692686935,0.0,0.0,26.2604496823,1217,15.9794836317,48.0690221857,20.4592901879,1.64271047228,0.076160158116
060750304001,0.0,0.0,0.0,0.0,0.0,1080,9.9629333593,49.7222222222,0.0,3.5799522673,0.108401809091
060750304002,1.0,0.858369098712,1.0,9.66922620433,9.66922620433,1165,11.264648528,47.8111587983,11.5124153499,2.20750551876,0.103420892103
060750304003,2.0,1.31578947368,0.0,0.0,0.0,1520,17.7886391247,46.25,10.8695652174,8.36653386454,0.0854477956039
060750304004,0.0,0.0,0.0,0.0,0.0,728,18.7819524454,41.2087912088,13.9097744361,7.63888888889,0.038760613526
060750304005,1.0,1.08932461874,0.0,0.0,232.079597565,918,23.6721189516,45.7516339869,4.90956072351,0.0,0.0387797983728
060750305001,0.0,0.0,0.0,0.0,0.0,671,3.76034280961,49.478390462,10.2777777778,7.9283887468,0.178441177832
060750305002,0.0,0.0,0.0,0.0,0.0,924,14.6382272556,54.7619047619,0.0,11.3989637306,0.0631223975324
060750305003,3.0,2.43902439024,0.0,0.0,5.15142622782,1230,6.33625426022,51.0569105691,17.3469387755,0.0,0.194120997909
060750306001,0.0,0.0,0.0,0.0,0.0,781,13.0664559708,46.9910371319,4.79233226837,0.0,0.0597713719578
060750306002,2.0,2.98507462687,2.0,31.2516379083,93.7549137248,670,10.4692986993,48.8059701493,0.0,0.0,0.0639966457397
060750306003,0.0,0.0,0.0,0.0,0.0,902,11.7768203134,58.9800443459,1.5625,0.0,0.0765911320711
060750307001,1.0,0.362450163103,0.0,0.0,0.0,2759,9.79406560534,53.7876042044,2.82828282828,4.99040307102,0.281701196538
060750307002,0.0,0.0,0.0,0.0,0.0,1262,12.2328304799,51.2678288431,2.68006700168,3.70967741935,0.103165003559
060750307003,2.0,0.693481276006,0.0,0.0,0.0,2884,16.9854552617,53.5367545076,2.70774976657,6.21716287215,0.169792328528
060750308001,2.0,2.0725388601,2.0,26.0196091231,104.078436492,965,12.5544614019,54.9222797927,0.0,2.74314214464,0.0768651054879
060750308002,0.0,0.0,0.0,0.0,0.0,804,10.1229955104,54.3532338308,0.0,0.0,0.0794231311445
060750308003,0.0,0.0,1.0,10.7185655205,107.185655205,582,6.23820513293,52.2336769759,3.05676855895,0.0,0.0932960663521
060750308004,6.0,3.43053173242,3.0,22.7156397901,136.293838741,1749,13.2432179976,43.7964551172,2.4154589372,13.5097493036,0.132067598699
060750308005,2.0,1.2936610608,0.0,0.0,61.1966584101,1546,15.7683389837,54.2043984476,4.3630017452,19.8601398601,0.0980445690317
060750309001,1.0,0.999000999001,0.0,0.0,0.0,1001,10.312157561,46.953046953,0.0,10.4519774011,0.0970698899895
060750309002,1.0,0.956022944551,1.0,8.93848331837,8.93848331837,1046,9.34965355101,45.4110898662,1.73267326733,3.1175059952,0.111875803129
060750309003,1.0,1.01936799185,0.0,0.0,55.4239275353,981,7.76726755887,50.254841998,5.03144654088,0.0,0.126299241344
060750309004,0.0,0.0,0.0,0.0,8.53195984366,888,7.57638034117,51.9144144144,12.5382262997,0.0,0.117206365047
060750309005,0.0,0.0,0.0,0.0,0.0,653,7.41906240547,46.8606431853,0.0,0.0,0.0880165126416
060750309006,0.0,0.0,0.0,0.0,87.6582014258,1087,11.9105581187,51.885924563,8.99182561308,0.0,0.0912635654152
060750309007,6.0,6.23052959502,0.0,0.0,23.9023044429,963,11.5089595892,49.94807892,9.4387755102,19.0082644628,0.0836739405099
060750310001,0.0,0.0,0.0,0.0,0.0,670,8.47228189444,48.6567164179,9.88593155894,0.0,0.0790814102207
060750310002,6.0,4.0733197556,0.0,0.0,64.9441645485,1473,9.56627543799,52.0027155465,7.36607142857,0.0,0.153978422381
060750310003,0.0,0.0,0.0,0.0,70.617622101,1601,18.8431354973,54.341036852,1.95758564437,6.12557427259,0.0849646281125
060750311001,1.0,0.509424350484,0.0,0.0,49.4932105924,1963,32.3850574643,50.6367804381,2.30215827338,0.0,0.0606143744585
060750311002,0.0,0.0,0.0,0.0,13.8282059683,1114,15.4046214487,44.5242369838,7.98122065728,8.97435897436,0.0723159607468
060750311003,4.0,4.60299194476,0.0,0.0,0.0,869,6.08561226106,50.8630609896,3.80228136882,0.0,0.142795821147
060750311004,0.0,0.0,0.0,0.0,136.769391749,946,14.3759827327,43.1289640592,10.3448275862,7.01402805611,0.065804197013
060750311005,1.0,0.584795321637,1.0,12.7153738752,38.1461216256,1710,21.7432893266,54.9707602339,8.0118694362,6.38888888889,0.0786449545106
060750312011,2.0,1.02669404517,0.0,0.0,13.780015529,1948,26.8434702505,49.2813141684,15.7024793388,0.0,0.0725688587138
060750312012,3.0,1.12359550562,1.0,21.2310294888,233.541324377,2670,56.6868487352,49.3258426966,5.78512396694,7.63358778626,0.0471008718878
060750312013,0.0,0.0,1.0,28.3131062418,84.9393187254,999,28.2847931356,38.7387387387,7.8431372549,11.4583333333,0.0353193320245
060750312014,0.0,0.0,0.0,0.0,0.0,1552,37.49852836,49.2268041237,15.6327543424,3.125,0.0413882908977
060750312021,1.0,0.851788756388,0.0,0.0,0.0,1174,24.371227441,53.7478705281,13.9601139601,0.0,0.0481715581558
060750312022,1.0,0.553097345133,0.0,0.0,13.9655368877,1808,25.249690693,46.0730088496,7.31707317073,4.82142857143,0.0716048375396
060750313011,0.0,0.0,0.0,0.0,0.0,1181,25.2415947909,51.0584250635,6.32911392405,15.9574468085,0.0467878519477
060750313012,0.0,0.0,0.0,0.0,0.0,1902,27.0158788651,42.9022082019,4.27184466019,5.67765567766,0.070403039986
060750313013,0.0,0.0,0.0,0.0,0.0,1280,22.8461209437,59.921875,14.8796498906,5.38302277433,0.0560270167157
060750313021,0.0,0.0,0.0,0.0,16.0690151717,2012,32.3308585254,48.1610337972,17.7391304348,5.5829228243,0.062231567356
060750313022,0.0,0.0,0.0,0.0,71.8220533673,1359,19.5212341052,45.6953642384,2.24719101124,0.0,0.0696165003029
060750313023,3.0,1.02389078498,0.0,0.0,15.1251256057,2930,22.1583090124,51.5017064846,28.90625,0.0,0.132230306851
060750314001,0.0,0.0,0.0,0.0,0.0,849,26.8978467209,46.2897526502,10.8527131783,4.08921933086,0.0315638649
060750314002,2.0,1.27551020408,0.0,0.0,38.0728785624,1568,19.8994245286,47.4489795918,10.3982300885,5.83333333333,0.0787962484917
060750314003,1.0,0.506329113924,0.0,0.0,109.409520329,1975,30.8691146643,54.582278481,26.3498920086,8.13492063492,0.0639798070492
060750314004,2.0,1.89753320683,0.0,0.0,27.3207492069,1054,14.3980348321,53.9848197343,24.9258160237,3.43839541547,0.0732044346534
060750314005,1.0,0.883392226148,0.0,0.0,0.0,1132,21.8914307962,47.5265017668,20.4678362573,11.1688311688,0.0517097311061
060750326011,5.0,2.72182906913,3.0,55.489996174,314.443311653,1837,33.9783743239,49.4284158955,6.60522273425,1.21396054628,0.0540637990061
060750326012,8.0,6.15384615385,0.0,0.0,281.080758286,1300,24.3603323848,60.0,4.26829268293,0.0,0.0533654459006
060750326013,1.0,0.61387354205,0.0,0.0,18.6563579514,1629,30.3912071028,47.5751995089,11.5015974441,8.47953216374,0.0536010298797
060750326021,0.0,0.0,0.0,0.0,91.9848207028,1552,20.3943488187,48.0670103093,19.4762684124,12.3385939742,0.0760995123599
060750326022,0.0,0.0,0.0,0.0,37.6421593283,1816,34.1790806701,45.2092511013,1.39616055846,6.98051948052,0.0531319147384
060750326023,0.0,0.0,0.0,0.0,18.847432245,1172,22.0891905912,53.6689419795,8.93617021277,0.0,0.0530576254102
060750327001,0.0,0.0,0.0,0.0,0.0,1101,23.6195429523,50.0454132607,3.35570469799,0.0,0.0466139417779
060750327002,0.0,0.0,0.0,0.0,155.038950879,1342,29.7231817256,45.0074515648,10.5263157895,0.0,0.0451499443225
060750327003,2.0,1.32362673726,0.0,0.0,66.3228039797,1511,33.4045856045,43.7458636664,20.2959830867,10.2466793169,0.0452333107164
060750327004,0.0,0.0,0.0,0.0,0.0,831,18.4175109831,49.6991576414,8.05860805861,0.0,0.0451201034038
060750327005,0.0,0.0,0.0,0.0,0.0,679,14.9579288665,52.7245949926,0.0,0.0,0.0453939850937
060750327006,0.0,0.0,0.0,0.0,0.0,933,18.9419146528,41.8006430868,0.0,3.9603960396,0.0492558443591
060750327007,0.0,0.0,0.0,0.0,21.6275748833,733,15.8530123895,31.9236016371,3.7037037037,0.0,0.0462372691065
060750328011,4.0,3.03720577069,0.0,0.0,29.1496569408,1317,19.1950490955,38.1169324222,5.81395348837,4.86725663717,0.0686114421197
060750328012,4.0,2.93470286134,1.0,14.6211661987,190.075160584,1363,19.9286495289,44.02054292,14.920071048,10.6349206349,0.0683939971961
